,Unnamed: 0.1,Unnamed: 0,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Prot,bp_rp,abs_G,ruwe,survey,teff
106557,106557,106557,2132984594324361344,False,0.215,5745.7,4.336,16.958,0.8271656,4.4422783811180935,1.143941,Kepler,5751.673113004227
106558,106558,106558,2132986110450574336,False,0.093,6214.9,4.185,15.3,0.68799305,3.2678896835084092,1.1294869,Kepler,6197.99846991927
106559,106559,106559,2132988756150678016,False,-0.226,5514.9,4.503,21.21,0.8589325,5.1567977014703,0.9367094,Kepler,5656.272197154871
106560,106560,106560,2132988893589643648,False,0.228,6215.2,4.088,5.82,0.68244934,2.9474619356977243,0.9448689,Kepler,6216.683477580622
106561,106561,106561,2132988927949385216,False,-0.547,4029.1,4.68,40.291,1.7717085,8.31051445907292,1.0131758,Kepler,3989.7825150344815
106562,106562,106562,2132991985966153344,False,0.031,5811.1,4.155,24.66,0.80698013,3.701049669282078,0.9336719,Kepler,5813.585459233078
106564,106564,106564,2132997311725579392,False,0.032,5641.6,4.301,22.82,0.8583498,4.424187379462245,1.0004525,Kepler,5657.99946467378
106565,106565,106565,2132997895841149056,False,-0.083,5515.3,4.495,17.97,0.8934145,5.165773615882555,1.0126932,Kepler,5555.5897192534685
106566,106566,106566,2132999923065626880,False,-0.02,5493.9,3.914,43.02,0.95868015,3.046235143178702,0.9582589,Kepler,5373.422756345151
106567,106567,106567,2133002293887597056,False,-0.259,3873.5,4.662,17.915,2.0120134,8.636983725389683,1.0275853,Kepler,3794.1798547267135
106568,106568,106568,2133002500046033024,False,-0.031,6225.0,3.728,12.205,0.66147614,1.789719637319676,1.1594245,Kepler,6287.966671058979
106570,106570,106570,2133003698339700352,False,-0.079,4342.3,4.594,27.53,1.5903416,7.286866527792473,1.069914,Kepler,4178.536876854365
106571,106571,106571,2133004458551076736,False,-0.092,5484.3,4.457,11.85,0.9133978,4.863091140003293,0.95244265,Kepler,5498.634511152528
106572,106572,106572,2133004973947176576,False,-0.112,5831.2,3.847,10.36,0.7899122,2.5705907493110747,1.0013894,Kepler,5866.70547081944
106573,106573,106573,2133006210897743872,False,-0.225,5729.8,4.458,17.68,0.8022423,4.885813018714501,1.0067366,Kepler,5828.260626665918
106574,106574,106574,2133008959676866944,False,-0.189,5058.5,4.56,25.826,1.071064,5.987302550323005,1.1785136,Kepler,5086.244091447692
106575,106575,106575,2133009818670329344,False,0.33,5387.4,3.807,49.76,0.96358967,3.273539506360015,1.0159223,Kepler,5360.171574860013
106576,106576,106576,2133010505863252992,False,0.011,6035.4,4.284,12.97,0.67593956,3.783154198113564,1.1446707,Kepler,6238.708760911969
106577,106577,106577,2133010505865104640,False,0.179,5133.8,4.518,22.42,1.0453959,5.5542925114790656,1.0641782,Kepler,5148.841217357805
106578,106578,106578,2133011463638427136,False,0.25,5822.1,4.314,18.97,0.79692173,4.3130826102530495,0.97555494,Kepler,5844.805271001464
106579,106579,106579,2133013151564951296,False,0.164,5662.2,4.384,23.2,0.8584337,4.728307752599781,1.0620612,Kepler,5657.750711649014
106580,106580,106580,2133015934703827712,False,0.039,5256.1,4.498,14.59,1.0268602,4.997803356099768,1.2716397,Kepler,5195.150289541794
106581,106581,106581,2133016450099898752,False,-0.012,4250.8,4.606,14.343,1.6783915,7.531669615019361,1.012426,Kepler,4081.020243326265
106582,106582,106582,2133016518819375232,False,0.295,5581.9,4.147,43.32,0.9017744,4.005878364048161,1.0112988,Kepler,5531.637445466216
106583,106583,106583,2133017412172254976,True,0.016,5602.9,4.49,14.77,0.85005283,4.984178224526421,0.88779324,Kepler,5682.6861494782315
106584,106584,106584,2133018477324183680,False,0.038,6273.0,4.305,5.42,0.6428213,3.600895817241053,0.90856564,Kepler,6352.145813983235
106585,106585,106585,2133018644826528768,False,-0.041,6011.8,4.197,10.07,0.72841644,3.686171262297746,1.004538,Kepler,6063.782519432785
106586,106586,106586,2133020160951459456,False,0.107,6261.2,4.26,4.67,0.6561718,3.507841888445375,1.1199914,Kepler,6306.1418851174985
106587,106587,106587,2133020401469623040,False,-0.116,4557.6,4.602,38.486,1.419261,6.998970399148806,0.99134475,Kepler,4408.117871124451
106588,106588,106588,2133022772291513856,False,0.076,4541.8,4.566,27.638,1.4835176,7.0199120676421884,0.99734926,Kepler,4314.994769262832
106589,106589,106589,2133023867506742272,False,0.131,6136.9,4.342,6.47,0.69459915,3.892940015189731,0.8937377,Kepler,6175.819349866487
106590,106590,106590,2133024249760268160,False,-0.106,4665.9,4.595,19.25,1.3206024,5.972895921639729,1.19463,Kepler,4569.2097390495055
