,source_id,in_training_sample,mh_xgboost,teff_xgboost,logg_xgboost,Unnamed: 0.1,Unnamed: 0,Prot,bp_rp,abs_G,ruwe,survey
5618,2102711431437786880,True,-0.109,6063.7,4.098,22434,159039,8.96,0.6998987,3.3191499243159317,0.9657808,Kepler
5619,2102714768635180928,False,-0.113,3932.4,4.642,20161,156766,26.502,1.9796867,8.397262860164858,1.0549784,Kepler
5620,2102717654853282176,False,-0.144,3861.1,4.639,20163,156768,3.772,2.0030737,7.834675188646202,1.0704063,Kepler
5621,2102720506711504896,False,-0.158,3777.5,4.682,20178,156783,31.127,2.08821,8.895695112976998,1.0448153,Kepler
5622,2102720850308886784,False,-0.08,3978.4,4.639,20177,156782,17.598,1.9217958,8.117407902360032,1.0506676,Kepler
5623,2102722568291787904,True,0.282,6038.4,4.102,7993,144598,8.68,0.7328806,3.0124655229277995,0.80471504,Kepler
5624,2102724561160260864,False,-0.085,6026.8,4.362,7854,144459,10.37,0.74339485,4.35882593326073,0.9878112,Kepler
5625,2102727172500440064,False,0.078,5590.2,4.463,7998,144603,17.84,0.8925648,4.969588968142336,1.0218467,Kepler
5626,2102730367956082432,False,-0.19,4871.6,4.526,22478,159083,15.657,1.1339598,5.922232389429212,1.1269503,Kepler
5627,2102732944936573824,False,0.074,6264.9,4.044,8002,144607,4.17,0.65532494,2.493796022592857,0.9163669,Kepler
5628,2102733597771563008,False,0.188,5572.0,4.11,8000,144605,20.74,0.8847723,3.767392528013069,1.0104227,Kepler
5629,2102746894990657792,False,0.073,5723.5,4.42,8328,144933,11.59,0.82769775,4.704243077299585,1.0475795,Kepler
5630,2102748509898459392,False,-0.019,5673.6,4.3,8331,144936,5.41,0.8810806,4.172430505407686,1.0328181,Kepler
5631,2102749192790230912,False,-0.119,5969.2,3.888,8522,145127,13.79,0.7477732,2.4684469715218444,0.9946466,Kepler
5632,2102756137760412288,False,-0.02,5458.1,4.52,8669,145274,16.65,0.9214287,5.25489265669956,0.94756114,Kepler
5633,2102758268064260480,False,-0.178,5023.9,4.574,22579,159184,7.679,1.1265631,6.140102521241907,1.0645055,Kepler
5634,2102758542942159744,False,-0.479,5405.8,3.911,8838,145443,27.0,0.9192724,3.33991330812869,1.289532,Kepler
5635,2102794483226859904,True,0.216,6053.9,3.865,8337,144942,12.81,0.73146343,2.3270579090820593,0.7908,Kepler
5636,2102798881273358720,False,-0.149,5869.8,4.399,8527,145132,9.68,0.81032085,4.684585017764469,1.0364472,Kepler
5637,2102801797550928256,False,0.038,5663.4,3.915,22557,159162,10.554,0.8486881,2.953599485628912,0.8579493,Kepler
5638,2102806161237723264,True,-0.024,3793.6,4.652,20255,156860,28.424,2.1576233,8.698436388898035,1.0841746,Kepler
5639,2102809940808940416,False,0.03,5740.3,4.455,8997,145602,5.96,0.8172159,4.764203156913247,0.955711,Kepler
5640,2102810460505952896,False,-0.134,6103.3,4.141,9176,145781,10.85,0.701849,3.30582307369974,1.0592593,Kepler
5641,2102813278004255488,False,-0.258,3684.2,4.656,20254,156859,23.632,2.2044306,9.15682756043502,0.9872659,Kepler
5642,2102815889344461312,False,-0.583,4108.1,4.679,20275,156880,34.942,1.7449474,8.203079266389771,0.98704463,Kepler
5643,2102819875074080512,False,-0.078,5515.9,4.518,9170,145775,17.35,0.8891983,5.201045034865752,1.0753374,Kepler
5644,2102819978153304960,False,-0.213,4347.0,4.56,20288,156893,36.939,1.5299578,6.21398670354548,0.9946757,Kepler
5645,2102820184311704832,False,0.175,5845.0,4.368,9169,145774,17.1,0.8212471,4.486830371440986,1.0152582,Kepler
5646,2102822555133782784,False,-0.198,4245.8,3.341,22634,159239,7.054,1.2545662,2.925062963199247,1.0572889,Kepler
5647,2102825510071274752,False,0.219,5882.7,4.089,9172,145777,16.07,0.8058605,3.4197089284525717,0.99540144,Kepler
