,Unnamed: 0,Prot,bp_rp,abs_G,source_id,ruwe,survey
21533,158138,1.504,0.680336,2.683390328249308,2052188940867262080,0.99860215,Kepler
21534,158139,1.475,0.7227602,2.488867466021029,2052192690382533504,1.0548378,Kepler
21535,158140,7.19,1.224164,6.3996058049871785,2052204578852443904,0.9644649,Kepler
21536,158141,1.001,1.1446562,5.4747533937073065,2052205540925175680,1.0544531,Kepler
21537,158142,23.884,1.3764238,6.17622543646814,2052207705588792320,0.97798204,Kepler
21538,158143,32.378,1.279192,6.521822316900678,2052159498874389376,1.0095681,Kepler
21540,158145,27.846,1.2210379,6.273894593287217,2073159380696380288,0.98976,Kepler
21541,158146,17.789,0.702301,2.9016948554926714,2076162215665260160,1.1858951,Kepler
21542,158147,25.811,1.1387157,6.113224410553169,2073174739500374400,1.1331604,Kepler
21543,158148,30.191,1.0934324,6.0119531185914035,2100373599139089408,0.94483143,Kepler
21544,158149,0.396,0.65513515,2.552242054617878,2099633387296610176,1.0918373,Kepler
21545,158150,29.352,1.143054,6.077512384493321,2099645962960886016,1.0214521,Kepler
21546,158151,10.077,0.7937937,2.52680982319745,2099631665011593728,0.86966074,Kepler
21547,158152,6.813,0.71579266,4.17323777548617,2099590678141582976,0.8965315,Kepler
21548,158153,9.963,1.1252022,6.088616375764893,2052944825048716416,0.9424541,Kepler
21549,158154,1.293,0.6390352,2.997770858055135,2052768314774777728,1.0389806,Kepler
21550,158155,0.352,0.88090706,3.392940069286558,2052721108793208064,1.1641825,Kepler
21551,158156,1.424,1.1398144,5.869008835450554,2052301095353957248,1.0348771,Kepler
21552,158157,22.6,0.92573166,5.065923843046953,2052202689066929024,1.0370065,Kepler
21553,158158,20.376,1.107543,5.838902336150385,2076166373193484416,1.0445595,Kepler
21554,158159,12.287,1.1641464,5.97980866725009,2076167266546725376,1.0143862,Kepler
21555,158160,26.436,1.165761,6.107787507151279,2076166132675337088,1.0309607,Kepler
21556,158161,32.378,0.91542053,3.743198676630403,2073164019261508864,1.0373605,Kepler
21557,158162,36.773,1.222188,6.241834073862172,2073174739500382592,0.9588364,Kepler
21558,158163,7.428,1.163147,6.09560731766129,2073176354408331904,0.9696571,Kepler
21559,158164,12.668,1.167202,4.869917583972894,2100155036844188288,1.042928,Kepler
21560,158165,21.938,0.8973503,4.162205350453679,2100245265516077568,0.9222077,Kepler
21561,158166,20.438,1.2061272,6.220012888443922,2100245780912190464,1.0145644,Kepler
21562,158167,14.943,0.9807501,1.9959928488108396,2100014264996371968,1.0560862,Kepler
21563,158168,19.354,1.1388521,5.980078300317965,2100389851295214976,0.9896232,Kepler
21564,158169,37.34,1.2573624,6.130798049922621,2100387617913199872,0.9984251,Kepler
21565,158170,2.5,0.62913704,2.2365497545876885,2099639572049696384,0.8817235,Kepler
21566,158171,36.975,1.2543583,6.282402322095223,2099638536958577664,1.0543662,Kepler
21567,158172,1.266,0.750103,2.1516619459198,2099592185672205696,0.87413013,Kepler
21568,158173,2.19,0.7070112,1.5907812363264815,2099513196932688384,1.0088147,Kepler
21570,158175,66.302,1.0661879,3.250724870580534,2052946504374105728,0.9599643,Kepler
21571,158176,5.974,0.86561203,4.827709475621157,2052952414251908480,1.0365416,Kepler
21572,158177,1.134,0.68811035,2.2302756062564253,2052761477186836992,1.0089744,Kepler
21573,158178,28.794,1.1535292,6.005365297193929,2052774194590144128,0.9936362,Kepler
21574,158179,53.526,1.1209459,1.2316259774227056,2053098511855392768,0.9748028,Kepler
21575,158180,3.647,0.6326637,2.974980204478614,2053089273389905792,0.849198,Kepler
21577,158182,27.383,1.1995993,6.395142072376885,2052386754181232384,1.0621134,Kepler
21578,158183,5.366,0.93002605,4.371590492609558,2052219937656059904,1.0576276,Kepler
21579,158184,1.006,0.6711874,2.508101492734065,2052209286136781312,1.0442834,Kepler
21580,158185,23.674,1.2997074,6.2566343908204125,2052208736381002752,1.0209944,Kepler
21581,158186,16.081,0.93838596,3.579969470296785,2076181594557480576,0.9709084,Kepler
21582,158187,12.673,1.2016296,6.254693271367987,2076180323247271168,0.94905627,Kepler
21583,158188,53.884,1.0855522,2.8019470925327035,2076179597386989312,1.0309292,Kepler
21585,158190,14.475,0.9669943,5.269414822151207,2073195183545004032,1.0551652,Kepler
21586,158191,10.202,1.2281637,6.310218755582575,2073179618583610752,0.9436521,Kepler
21587,158192,13.478,0.73734474,2.9922909870493744,2100297698477204608,1.0448759,Kepler
21588,158193,22.379,1.2208776,5.657422156296638,2100074463258056064,0.99158734,Kepler
21590,158195,12.347,0.85016537,2.343582429418124,2099654587255354624,0.9932829,Kepler
21591,158196,5.065,0.6626539,3.6288296419260586,2099642728847342336,0.96241784,Kepler
21592,158197,19.988,1.162633,6.122477183324648,2099643935736477696,1.0198482,Kepler
21593,158198,19.125,1.2417488,6.488463163770511,2099734645446199424,1.0540172,Kepler
21594,158199,6.801,1.2962427,6.651636447518477,2101000801805671808,1.0314802,Kepler
21595,158200,21.403,0.8125925,3.1933282419908835,2100955000274545536,0.9317833,Kepler
21596,158201,36.207,1.1932926,6.188677388632971,2100954278719435136,0.9812863,Kepler
21597,158202,17.581,1.1372766,5.946741161537007,2052962932630926592,0.98387057,Kepler
21598,158203,62.441,0.77166367,3.4718284656878957,2052953037026418432,0.9409162,Kepler
21599,158204,22.759,1.1162777,5.750828326711236,2052974855460501248,1.2088577,Kepler
21600,158205,0.365,0.96122074,3.920215094378067,2052973171833300096,0.9541852,Kepler
21601,158206,2.053,0.7213335,2.639841240846625,2052973893387850240,0.9627474,Kepler
