 source_id mh_xgboost BP-G Prot
288 2051842049246285824 -0.091 0.306611 13.255
289 2051843973391494016 0.192 0.330996 23.023
290 2051844901104525952 -0.157 0.537873 15.024
291 2051844969824025728 -0.028 0.678827 24.021
292 2051845107262949760 0.022 0.31731 11.836
293 2051845416500689792 0.213 0.381702 16.418
294 2051847856042428160 -0.16 0.422588 18.615
295 2051851841772044416 0.114 0.405933 15.712
296 2051853319240872448 -0.07 0.453727 10.536
297 2051854968508383488 -0.021 0.321935 3.642
298 2051855930581147904 -0.076 0.45337 25.139
299 2051856922712425088 -0.171 0.471158 12.316
300 2051857816065976960 -0.386 0.460763 22.069
301 2051858129604516992 0.191 0.69807 25.117
302 2051860122469418880 -0.144 0.43324 4.496
303 2051860912743274368 0.067 0.405405 10.846
304 2051861221980936448 -0.167 0.362288 14.899
305 2051861462499037824 0.117 0.394096 14.032
306 2051862699449699968 0.181 0.53723 21.924
307 2051863627162644480 -0.032 0.403992 11.501
308 2051864829753154048 0.087 0.514734 32.782
309 2051865104631062656 -0.12 0.782487 11.976
310 2051867131855735936 0.276 0.403004 15.085
311 2051869090360684800 0.137 0.500099 26.095
312 2051869193439946752 0.068 0.950232 17.539
313 2051869296519117056 0.271 0.366092 15.904
314 2051869537037321600 -0.145 0.314119 5.417
315 2051870121152837632 0.04 0.465218 15.621
316 2051870189872310400 0.298 0.338725 22.649
317 2051870808348062976 -0.066 0.820202 22.446
318 2051871804780206848 0.096 0.94141 33.05
319 2051871839139938688 -0.106 0.49329 16.183
320 2051872869932377856 0.01 0.486134 26.816
321 2051873213529761152 -0.367 0.304306 4.143
322 2051873488407434880 -0.162 0.383204 14.058
323 2051873763285340288 -0.173 0.597071 23.59
324 2051875481272342016 -0.002 1.24562 38.698
325 2051875756150312576 -0.003 0.373888 11.78
326 2051878230051585920 0.085 0.595111 18.186
327 2051878436210021632 0.054 0.505946 11.601
328 2051878470569766144 -0.084 0.493455 7.361
329 2051878504929507328 -0.25 0.713022 24.459
330 2051878676728255488 -0.026 0.356054 9.04
331 2051880424775192192 -0.398 0.425147 11.035
332 2051880463434619136 -0.038 0.374138 6.21
333 2051880841391744768 0.064 0.367261 3.735
334 2051880875751487488 -0.03 0.318961 9.158
335 2051882043982592768 -0.328 0.409378 20.321
336 2051882318860793472 0.048 0.575788 17.82
337 2051883143494456704 -0.299 0.501748 24.794
338 2051884311725690624 0.071 0.460752 17.215
339 2051884517884005632 -0.238 0.441474 14.597
340 2051884930200870656 -0.023 0.316067 10.87
341 2051885686115115264 -0.171 0.951934 26.101
342 2051886338950332800 -0.057 0.441856 6.333
343 2051886819987002368 -0.104 0.748209 19.57
344 2051887335382669056 -0.046 0.351489 0.803
345 2051887919498165888 0.15 0.448318 21.778
346 2051893726294310016 -0.145 0.347188 7.918
347 2051894550928019200 0.051 0.352812 17.501
348 2051896028396680960 -0.177 0.696731 8.698
349 2051896097116178816 0.062 0.590133 26.006
350 2051896195891533184 -0.066 0.347757 17.195
351 2051896436409714304 -0.056 0.410532 4.621
352 2051896853030333696 0.014 0.485031 11.901
353 2051897918182359680 -0.346 0.379641 1.28
354 2051899189492688640 0.198 0.452008 20.22
355 2051899292571952384 0.025 0.334431 14.913
356 2051899945406589056 0.063 0.711539 27.609
357 2051900082845519232 -0.082 0.47821 18.825
358 2051900323363729664 0.158 0.63814 20.594
359 2051901457235099264 0.017 0.308806 19.789
360 2051901766472764288 0.126 0.496368 5.028
361 2051903347020807168 -0.258 0.260069 3.332
362 2051904412172574976 -0.107 0.278395 5.405
363 2051904652690754560 0.122 0.575811 36.753
364 2051904927568716672 0.225 0.422065 30.436
365 2051905030647889024 -0.096 0.417233 15.861
366 2051905099367367040 -0.306 0.478492 1.003
367 2051905271166097024 -0.055 0.330081 13.588
368 2051905339885506944 -0.037 1.345877 32.181
369 2051905442964731520 -0.094 0.371078 13.361
370 2051905546043953024 0.144 0.405024 1.992
371 2051905649123134464 -0.015 0.502001 24.149
372 2051905717842640896 0.069 0.410546 17.379
373 2051905752202392064 0.025 0.356146 13.611
374 2051905924001086720 0.022 0.522018 1.004
375 2051905992720970496 0.076 0.289199 1.001
376 2051907332750495744 0.016 0.331825 15.914
377 2051907641988082432 0.048 0.326769 4.233
378 2051909806651712768 -0.073 0.507973 32.463
379 2051910695704227840 -0.128 0.355371 10.717
380 2051910700004995200 -0.088 0.469975 17.488
381 2051912349272495744 0.108 0.342785 17.895
382 2051913036467117952 0.102 0.397142 23.09
383 2051913276985280896 0.399 0.418773 25.405
384 2051914307777457152 -0.283 0.290226 1.302
385 2051914513935889280 -0.011 0.740626 31.286
386 2051915029332169984 -0.024 0.512236 26.233
387 2051916575520400128 0.027 0.281835 4.929
388 2051917739450103168 0.021 0.298592 3.763
389 2051919083781623040 -0.137 0.372381 15.756
390 2051920595610224512 -0.119 0.559706 23.969
391 2051920664329710848 0.172 0.517698 24.123
392 2051921660762110592 0.029 0.513402 30.882
393 2051921763841329664 0.065 0.346494 8.768
394 2051922004359342848 -0.014 0.39907 19.546
395 2051922073078798464 -0.07 0.456262 20.02
396 2051923344389154816 -0.091 0.49686 10.765
397 2051924169022979584 -0.15 0.364372 10.023
398 2051924272102150912 0.077 0.265659 17.978
399 2051924615699582592 -0.013 0.438223 20.429
400 2051925096735879296 -0.177 0.397569 17.713
401 2051925298593656192 0.051 0.310683 4.243
402 2051926402406048640 0.346 0.32389 13.024
403 2051928601429382528 0.133 0.607247 28.643
404 2051929181244480384 -0.1 0.370811 12.221
405 2051929254264442496 -0.029 0.334027 7.938
406 2051929975818923648 -0.163 0.306478 13.107
407 2051931178409710720 0.114 0.369616 9.881
408 2051931281488934912 0.178 0.38393 2.244
409 2051931384568160256 -0.118 0.296535 1.978
410 2051933927188816384 -0.122 0.507982 33.951
411 2051934408225175936 -0.028 0.382752 7.01
412 2051934751822576768 -0.085 0.761631 15.773
413 2051935576456041472 -0.224 0.391148 10.834
414 2051935610815765760 -0.066 0.45921 11.882
415 2051937397522499200 -0.085 0.364737 12.254
416 2051937431882243200 -0.107 0.292496 1.298
417 2051937638040413952 -0.163 0.974714 34.067
418 2051938119076771840 0.052 0.401496 16.6
419 2051938634473071488 0.066 0.442141 9.393
420 2051938703192287360 -0.071 0.425942 7.828
421 2051938771912033152 -0.021 0.353559 11.436
422 2051939527825913344 -0.076 0.300638 3.79
423 2051940524258653824 -0.421 0.572312 9.012
424 2051940730417090176 -0.146 0.459802 22.719
425 2051940764776821632 -0.233 0.391293 6.251
426 2051940902215778944 0.229 0.407251 5.142
427 2051942207885879808 0.046 0.551259 23.883
428 2051943303097257088 -0.079 0.493814 11.958
429 2051944784866317824 -0.314 0.542717 4.017
430 2051944819226046848 0.046 0.382487 16.335
431 2051946090536386048 -0.05 0.362608 14.205
432 2051946399774041984 -0.145 0.437119 22.237
433 2051946601632234880 -0.046 0.499033 9.162
434 2051947224407755904 0.06 0.475407 6.312
435 2051947705444108416 0.013 0.480954 21.098
436 2051947945962285568 0.034 0.43167 21.757
437 2051948255199849856 0.011 0.315668 2.688
438 2051948564437502464 0.095 0.69771 10.565
439 2051948908034918144 -0.05 0.437083 13.048
440 2051949148553080576 0.052 0.61027 33.952
441 2051949389071224192 0.096 0.494722 18.223
442 2052012610991236352 -0.212 0.789929 27.452
443 2052017558793780992 -0.222 0.418121 24.746
444 2052018280348439296 0.141 0.61665 31.568
445 2052019757817152640 -0.177 0.337401 58.747
446 2052020101414539392 -0.045 0.322432 2.568
447 2052021235285926912 0.066 0.379395 54.241
448 2052021407084543232 -0.048 0.439807 6.611
449 2052027282600467968 -0.212 0.684402 17.571
450 2052027832356128512 -0.25 0.3887 25.653
451 2052029859580783872 -0.082 0.311564 5.988
452 2052029962660001408 -0.101 0.351351 6.132
453 2052030168818463232 -0.091 0.606191 11.849
454 2052031096531394304 -0.524 0.388945 4.559
455 2052031126586861824 0.063 0.285361 14.481
456 2052040614178776448 0.226 0.353722 13.137
457 2052040923416431488 -0.124 0.383911 7.54
458 2052042499660358400 0.182 0.774647 42.211
459 2052043912713751936 0.132 0.354012 2.989
460 2052043981433263232 -0.208 0.465708 18.439
461 2052044221951413120 -0.05 0.307312 1.937
462 2052045287103192960 0.256 0.341206 6.692
463 2052046008657772032 0.064 0.401774 14.575
464 2052047073809656832 0.055 0.350352 5.973
465 2052047451766824448 -0.004 0.434127 27.97
466 2052047726644785792 0.103 0.371517 13.819
467 2052049680846104832 -0.016 0.314649 2.986
468 2052054083196424832 0.202 0.761541 25.844
469 2052061401821434752 -0.135 0.465666 12.238
470 2052066555782181760 0.253 0.376372 16.922
471 2052067380415967872 -0.123 0.362386 5.472
472 2052067827092586112 -0.102 0.509062 50.185
473 2052068651726318720 -0.219 0.33619 8.955
